From,To,条件 / トリガー
M00,M01,登録/ログイン開始
M01,M02,新規登録
M01,M03,ログイン
M03,M04,未完了オンボーディングを検知
M03,M16,登録済みホームへ
M02,M05,アカウント作成完了
M04,M05,入力再開
M05,M06,次へ（自動保存）
M06,M07,次へ（自動保存）
M07,M08,次へ（自動保存）
M08,M09,次へ（自動保存）
M09,M10,次へ（自動保存）
M10,M11,写真登録へ
M11,M12,写真登録完了
M12,M13,登録完了→eKYCへ
M13,M14,提出完了→審査中
M14,M13,差し戻し→再提出
M14,M40,eKYC失敗3回
M14,M16,eKYC承認
M16,M15,追加証明書が必要
M15,M16,提出/再提出完了
M16,M17,自分のプロフィールを見る
M17,M18,編集する
M18,M17,保存完了
M16,M19,通知設定
M16,M20,紹介/候補を見る（仕様補完）
M20,M21,候補を選択
M21,M22,お見合い申込
M22,M23,未所属会員の初回申込
M22,M24,所属会員 or 既課金会員 or 仲人コード対象
M23,M24,Stripe決済成功
M23,M22,決済失敗 / 戻る
M16,M25,受信した申込を開く
M25,M26,承認→申込側へ候補日時入力依頼
M25,M16,拒否→ホームへ
M24,M26,相手承認後
M26,M27,候補日時送信
M27,M28,日時確定
M28,M19,通知頻度を変更
M28,M29,Zoomに参加
M24,M31,承認後は匿名チャット開放
M25,M31,承認後は匿名チャット開放
M31,M32,スレッドを開く
M32,M40,個人情報送信試行3回
M29,M30,お見合い終了後
M28,M30,終了時刻後にログイン
M30,M31,双方が『また会いたい』
M30,M33,ステータス更新
M30,M16,一方がNG / 終了
M33,M34,本交際申込み
M34,M33,送信完了 / 返答待ち
M33,M35,本交際成立時
M35,M33,他仮交際を終了して反映
M33,M36,成婚退会へ進む
M36,M37,承認後 / 決済リンク発行
M37,M38,決済へ
M38,M39,決済完了
M16,M41,月額会費/カード管理
