Screen ID,画面名,種別,目的,主な機能,関連要件
M00,ランディング / サービス紹介,ASSUMPTION,会員向け導線の起点。価値訴求、登録/ログイン導線、Shutterstockのカップル写真をKVに使用,"サービス説明, CTA, 利用イメージ, FAQ導線",—
M01,会員登録 / ログイン選択,ASSUMPTION,新規登録とログインの分岐,"新規登録, ログイン, パスワード再設定導線",—
M02,新規登録（アカウント作成）,DERIVED,メール/パスワード登録。紹介コード・仲人コード入力を含む,"メール登録, パスワード設定, 規約同意, 紹介コード入力, 仲人コード入力","BR-030, BR-038, BR-039, BR-041"
M03,ログイン,ASSUMPTION,既存会員のサインイン,"メール/パスワード入力, ログイン, パスワード再設定",—
M04,オンボーディング再開案内,SPEC-DERIVED,途中離脱後の再開地点案内,"前回入力地点の表示, 再開, 下書き保持",BR-005
M05,プロフィール入力① 基本情報,SPEC-DERIVED,本人情報の初回入力,"氏名, ニックネーム, 性別, 生年月日, 自動保存, 進捗表示","BR-005, BR-006"
M06,プロフィール入力② 居住・属性,SPEC-DERIVED,居住地や基本属性の入力,"居住地, 出身地, 国籍, 身長, 体型, 血液型, 自動保存","BR-005, BR-006"
M07,プロフィール入力③ ライフスタイル,SPEC-DERIVED,趣味嗜好や生活スタイルの入力,"兄弟姉妹, 趣味, 酒/タバコ, 休日, 自動保存","BR-005, BR-006"
M08,プロフィール入力④ 学歴・仕事・年収,SPEC-DERIVED,仕事・学歴・年収の入力,"職業, 年収, 学歴, 資格, 年収600万円以上時の証明書案内","BR-004, BR-005, BR-006"
M09,プロフィール入力⑤ 家族・婚歴・価値観,SPEC-DERIVED,家族構成と婚活条件の入力,"結婚歴, 子供有無, 家族構成, 恋愛・結婚について, 自動保存","BR-005, BR-006"
M10,プロフィール入力⑥ 自己PR・紹介文,SPEC-DERIVED,自己PRと公開プロフィールの完成,"自己PR, 担当エージェント紹介文（閲覧）, 入力確認","BR-005, BR-006, BR-008"
M11,写真アップロード / 写真審査,SPEC,プロフィール写真登録と審査状態の確認,"写真アップロード, 審査ガイド, 審査中/差し戻し表示",BR-009
M12,登録内容確認 / 登録完了,SPEC-DERIVED,プロフィール登録完了,"入力確認, 修正, 登録完了, eKYC画面へ遷移",BR-005
M13,eKYC提出,SPEC,本人確認書類と顔照合の提出,"書類アップロード, OCR, 顔写真照合, 自動入力, 再提出","BR-001, BR-002"
M14,eKYC審査中 / 差し戻し,SPEC,本人確認の承認待ち・差し戻し対応,"審査ステータス, 差し戻し理由, 再提出導線, 失敗回数表示","BR-001, BR-002"
M15,追加証明書アップロード,SPEC,独身証明・年収証明・学歴証明等の提出,"証明書アップロード, 発行日バリデーション, バッジ表示, 再提出","BR-003, BR-004"
M16,ホーム / マイページ,SPEC-DERIVED,会員の中心画面,"活動ステータス, 証明書アラート, 申込残数(未所属のみ), 申込受信, 『紹介をお待ちください』表示, 通知導線","BR-003, BR-010, BR-014, BR-020"
M17,自分のプロフィール閲覧,SPEC,会員本人が公開プロフィールを確認,"全プロフィール閲覧, 証明書バッジ表示, 公開状態確認","BR-003, BR-008"
M18,プロフィール編集,SPEC-DERIVED,会員情報の更新,"プロフィール編集, 自動保存, 必須チェック, 年収証明条件分岐","BR-004, BR-006, BR-008"
M19,通知 / LINEリマインド設定,SPEC-DERIVED,通知頻度を管理,"LINE通知設定, お見合い前日の通知, 3時間前/1時間前設定","BR-016, BR-017"
M20,紹介・候補一覧,ASSUMPTION,会員が閲覧可能な紹介/候補者一覧。仕様上の検索UIは持たない,"候補カード, 紹介元表示, 閲覧履歴, 詳細遷移","BR-010, BR-014"
M21,相手プロフィール詳細,ASSUMPTION,申込前に相手プロフィールを確認,"プロフィール詳細, 証明書バッジ, お見合い申込CTA","BR-003, BR-014"
M22,お見合い申込確認,SPEC-DERIVED,申込前の最終確認,"申込確認, 残申込回数表示, 上限警告, 申込送信",BR-014
M23,Stripe月額課金確認 / カード登録,SPEC-DERIVED,未所属会員の初回申込時に発生する月額課金,"980円/月表示, カード登録, Stripe Checkout, 決済失敗表示","BR-014, BR-030, BR-031, BR-036, BR-037"
M24,申込送信完了 / 承認待ち,SPEC-DERIVED,送信側の待機画面,"送信完了, 承認待ち, 申込ステータス確認","BR-014, BR-015"
M25,受信したお見合い申込詳細,SPEC-DERIVED,受信側が承認/拒否を判断,"相手概要, 承認, 拒否, 拒否理由入力",BR-015
M26,候補日時入力,SPEC,申込側が候補日時を3件まで提示,"カレンダー, 候補日時3件選択, 送信",BR-016
M27,候補日時選択 / 確定,SPEC,受信側が候補日時から1つ選択,"候補確認, 1件選択, 確定",BR-016
M28,お見合い詳細,SPEC,お見合い実施前の詳細確認,"日時, Zoom URL, リマインド設定, ルール確認, 録画無効案内","BR-017, BR-018"
M29,Zoom参加（外部）,SPEC,Zoomミーティングへの参加,"外部遷移, Zoom起動, URLコピー",BR-018
M30,お見合い後フィードバック,SPEC,結果入力。終了後は必須,"また会いたい / NG / 本交際申込み, コメント入力, 強制表示","BR-019, BR-020"
M31,匿名チャット一覧,SPEC,承認後に開放されるチャット入口,"チャットスレッド一覧, 未読表示, 相手別管理",BR-025
M32,匿名チャットルーム,SPEC,匿名チャットと違反制御,"テキスト送信, 個人情報ブロック, NGワード検知, 警告表示","BR-025, BR-026, BR-027, BR-028"
M33,交際ステータス一覧 / 関係詳細,SPEC-DERIVED,仮交際・本交際・成婚退会までの管理,"ステータスタイムライン, 仮交際一覧, 本交際状態, 降格/終了案内","BR-020, BR-021, BR-022, BR-023"
M34,本交際申込み確認,SPEC-DERIVED,仮交際から本交際へ進む意思表示,"本交際申込み, 条件確認, 送信","BR-020, BR-021, BR-023"
M35,他仮交際終了確認,SPEC,本交際成立に伴う他仮交際の終了確認,"終了確認, 相手通知, 一括終了案内",BR-023
M36,成婚退会申請,SPEC,本交際中の成婚退会申請,"成婚退会申請, 確認ダイアログ, 承認待ち案内",BR-024
M37,成婚料決済案内,SPEC-DERIVED,成婚承認後の決済導線,"決済リンク案内, 金額表示, メール送信済み案内","BR-024, BR-032, BR-033"
M38,Stripe成婚料決済（外部）,SPEC-DERIVED,成婚料のオンライン決済,"決済リンク遷移, カード決済, 完了戻り","BR-033, BR-036"
M39,成婚退会完了 / エージェント評価,SPEC-DERIVED,成婚退会完了と評価入力,"退会完了, ログイン不可案内, エージェント5段階評価, コメント","BR-024, BR-048"
M40,アカウント停止 / 利用制限,SPEC-DERIVED,eKYC失敗やチャット違反時の停止画面,"停止理由, 解除案内, サポート導線","BR-001, BR-028"
M41,月額会費 / カード管理,ASSUMPTION,会員向け課金状況確認,"現在プラン, 次回請求日, カード変更, 決済失敗通知","BR-030, BR-031, BR-036, BR-037"
